CodigoCanton,CodigoParroquia,Nombre
1808,180851,BAQUERIZO MORENO
1808,180852,EMILIO MARÍA TERÁN
1808,180853,MARCOS ESPINEL
1808,180854,PRESIDENTE URBINA
1808,180855,SAN ANDRÉS
1808,180856,SAN JOSÉ DE POALÓ
1808,180857,SAN MIGUELITO
1809,180950,TISALEO
1809,180951,QUINCHICOTO
1901,190150,ZAMORA
1901,190151,CUMBARATZA
1901,190152,GUADALUPE
1901,190153,IMBANA
1901,190155,SABANILLA
1901,190156,TIMBARA
1901,190158,SAN CARLOS DE LAS MINAS
1902,190250,ZUMBA
1902,190251,CHITO
1902,190252,EL CHORRO
1902,190254,LA CHONTA
1902,190256,PUCAPAMBA
1902,190259,SAN ANDRÉS
1903,190350,GUAYZIMI
1903,190351,ZURMI
1903,190352,NUEVO PARAÍSO
1903,190353,NANKAIS
1904,190450,28 DE MAYO
1904,190451,LA PAZ
1904,190452,TUTUPALI
1905,190550,YANTZAZA
1905,190551,CHICAÑA
1905,190553,LOS ENCUENTROS
1906,190650,EL PANGUI
1906,190651,EL GUISME
1906,190652,PACHICUTZA
1906,190653,TUNDAYME
1907,190750,ZUMBI
1907,190752,TRIUNFO DORADO
1907,190753,PANGUINTZA
1908,190850,PALANDA
1908,190851,EL PORVENIR DEL CARMEN
1908,190852,SAN FRANCISCO DEL VERGEL
1908,190853,VALLADOLID
1908,190854,LA CANELA
1909,190950,PAQUISHA
1909,190951,BELLAVISTA
1909,190952,NUEVO QUITO
2001,200150,PUERTO BAQUERIZO MORENO
2001,200151,EL PROGRESO
2001,200152,ISLA SANTA MARÍA FLOREANA
2002,200250,PUERTO VILLAMIL
2002,200251,TOMÁS DE BERLANGA
2003,200350,PUERTO AYORA
2003,200351,BELLA VISTA
2003,200352,SANTA ROSA
2101,210150,NUEVA LOJA
2101,210152,DURENO
2101,210153,GENERAL FARFÁN
2101,210155,EL ENO
2101,210156,PACAYACU
2101,210157,JAMBELÍ
2101,210158,SANTA CECILIA
2101,210160,10 DE AGOSTO
2102,210250,LUMBAQUÍ
2102,210251,EL REVENTADOR
2102,210252,GONZALO PIZARRO
2102,210254,PUERTO LIBRE
2103,210350,PUERTO EL CARMEN DE PUTUMAYO
2103,210351,PALMA ROJA
2103,210352,PUERTO BOLÍVAR
2103,210353,PUERTO RODRÍGUEZ
2103,210354,SANTA ELENA
2103,210355,SANSAHUARI
2104,210450,SHUSHUFINDI
2104,210451,LIMONCOCHA
2104,210452,PAÑACOCHA
2104,210453,SAN ROQUE
2104,210454,SAN PEDRO DE LOS COFÁNES
2104,210455,SIETE DE JULIO
2105,210550,LA BONITA
2105,210551,EL PLAYÓN DE SAN FRANCISCO
2105,210552,LA SOFÍA
2105,210553,ROSA FLORIDA
2105,210554,SANTA BÁRBARA
2106,210650,EL DORADO DE CASCALES
2106,210651,SANTA ROSA DE SUCUMBÍOS
2106,210652,SEVILLA
2106,210653,NUEVA TRONCAL
2107,210750,TARAPOA
2107,210751,CUYABENO
2107,210752,AGUAS NEGRAS
2201,220150,EL COCA (PUERTO FRANCISCO DE ORELLANA)
2201,220151,DAYUMA
2201,220152,TARACOA
2201,220153,ALEJANDRO LABAKA
2201,220154,EL DORADO
2201,220155,EL EDÉN
2201,220156,GARCÍA MORENO
2201,220157,INÉS ARANGO
2201,220158,LA BELLEZA
2201,220159,NUEVO PARAÍSO
2201,220160,SAN JOSÉ DE GUAYUSA
2201,220161,SAN LUIS DE ARMENIA
2202,220250,NUEVO ROCAFUERTE
2202,220251,CAPITÁN AUGUSTO RIVADENEYRA
2202,220252,CONONACO
2202,220253,SANTA MARÍA DE HUIRIRIMA
2202,220255,YASUNÍ
2203,220350,LA JOYA DE LOS SACHAS
2203,220351,ENOKANQUI
2203,220352,POMPEYA
2203,220353,SAN CARLOS
2203,220354,SAN SEBASTIÁN DEL COCA
2203,220355,LAGO SAN PEDRO
2203,220356,RUMIPAMBA
2203,220357,TRES DE NOVIEMBRE
2203,220358,UNIÓN MILAGREÑA
2204,220450,LORETO
2204,220451,ÁVILA
2204,220452,PUERTO MURIALDO
2204,220453,SAN JOSÉ DE PAYAMINO
2204,220454,SAN JOSÉ DE DAHUANO
2204,220455,SAN VICENTE DE HUATICOCHA
2301,230150,SANTO DOMINGO DE LOS COLORADOS
2301,230151,ALLURIQUÍN
2301,230152,PUERTO LIMÓN
2301,230153,LUZ DE AMÉRICA
2301,230154,SAN JACINTO DEL BÚA
2301,230155,VALLE HERMOSO
2301,230156,EL ESFUERZO
2301,230157,SANTA MARÍA DEL TOACHI
2302,230250,LA CONCORDIA
2302,230251,MONTERREY
2302,230252,LA VILLEGAS
2302,230253,PLAN PILOTO
2401,240150,SANTA ELENA
2401,240151,ATAHUALPA
2401,240152,COLONCHE
2401,240153,CHANDUY
2401,240154,MANGLARALTO
2401,240155,SIMÓN BOLÍVAR
2401,240156,SAN JOSÉ DE ANCÓN
2402,240250,LA LIBERTAD
2403,240350,SALINAS
2403,240351,ANCONCITO
2403,240352,JOSÉ LUIS TAMAYO
